Species	Coefficient of Conservatism	Common Name	Genius	Family	Order
Verbascum thapsus	*	common mullein	Verbascum	Scrophulariaceae	Lamiales
Physalis heterophylla	4	clammy ground-cherry	Physalis	Solanaceae	Solanales
Physalis longifolia	0	common ground-cherry	Physalis	Solanaceae	Solanales
Physalis virginiana	6	Virginia ground-cherry	Physalis	Solanaceae	Solanales
Solanum carolinense	2	horse-nettle	Solanum	Solanaceae	Solanales
Solanum rostratum	0	buffalo-bur	Solanum	Solanaceae	Solanales
Ulmus americana	3	American elm	Ulmus	Ulmaceae	Rosales
Ulmus pumila	*	Siberian elm	Ulmus	Ulmaceae	Rosales
Urtica dioca	1	stinging nettle	Urtica	Urticaceae	Rosales
Verbena stricta	2	hoary vervain	Verbena	Verbenaceae	Lamiales
